2020-01-26 14:09:27 pid:3784 Workerman[start.php] start in DAEMON mode
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3791] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3796] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3792] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3797] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3798] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3799] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3793] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3800] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3801] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[Register:3795] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3802] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3803] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3794] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3804] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[Register:3805] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3806] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3807] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3808] exit with status 65280
2020-01-26 14:09:27 pid:3786 worker[YourAppGateway:3809] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3810] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3811] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3812] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3813] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3814] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3815] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3816] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3817] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3818] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3819] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3820] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3821] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3822] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3823] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3824] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3825] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3826] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3827] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3828] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3829] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3830] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3831] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3832] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3833] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3834] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3835] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3836] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3837] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3838] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3839] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3840] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3841] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3842] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3843] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3844] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[Register:3845] exit with status 65280
2020-01-26 14:09:28 pid:3786 worker[YourAppGateway:3846] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3847] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3848] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3849] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3850] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3851] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3852] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3853] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3854] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3855] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3856] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3857] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3858] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3859] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3860] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3861] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3862] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3863] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3864] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3865] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3866] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3867] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3868] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3869] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3870] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3871] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3872] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3873] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3874] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3875] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3876] exit with status 65280
